domain,has_gmb,confidence,business_name,website_url,gmb_url,address,phone,rating,reviews_count,category,detection_method,error
benidormweedclub.com,Yes,high,Results,https://www.benidormweedclub.com/,"https://www.google.com/maps/place/Babylon+weed+club+Benidorm/@38.5364351,-0.1245547,16z/data=!4m10!1m2!2m1!1sbenidormweedclub.com!3m6!1s0xd6205b625c24bb9:0x6474bc1c45d00413!8m2!3d38.5356562!4d-0.1316144!15sChRiZW5pZG9ybXdlZWRjbHViLmNvbVoWIhRiZW5pZG9ybXdlZWRjbHViIGNvbZIBC3NvY2lhbF9jbHVimgEkQ2hkRFNVaE5NRzluUzBWTU5uWTRkR1l6ZERZM1NEQlJSUkFC4AEA-gEECAAQTA!16s%2Fg%2F11x1xwhp2g?entry=ttu&g_ep=EgoyMDI1MTEzMC4wIKXMDSoASAFQAw%3D%3D","
C/ d'Alacant, 24, 03501 Benidorm, Alicante, Spain","
+34 667 43 01 57",4.2,,Social club,maps_search_verified,
balneariosgalicia.net,No,none,,,,,,,,,,
thebestgift.org,No,none,,,,,,,,,,
albuferadevalencia.com,No,none,,,,,,,,,,
acemotors.net,No,none,,,,,,,,,,
maratones.fun,No,none,,,,,,,,,,
dracma.co,No,none,,,,,,,,,,
globalstar.io,No,none,,,,,,,,,,
onlinepro.io,No,none,,,,,,,,,,
phonehouse.site,No,none,,,,,,,,,,
